====================================================================================================
ALL 100 SESSIONS - RANKED BY NEW STEP REWARD SCORE
====================================================================================================

Rank  Session ID                          Old PRM    New Step   Steps    Chunks   Msgs    
----------------------------------------------------------------------------------------------------
 48. ses_47eae96adffeNxWLFaFFCh2gpl... | old=0.821 | new=0.790 | steps=144 | chunks=32 | msgs= 202
 49. ses_48699ada1ffeIbw6iDZsX2S3fd... | old=0.946 | new=0.789 | steps=339 | chunks=62 | msgs= 521
 50. ses_48d7d46c5ffe9KApCoyjTWLR46... | old=0.968 | new=0.787 | steps=119 | chunks=26 | msgs= 179
 51. ses_496737805ffehIjxaBBzuRYwtS... | old=0.929 | new=0.785 | steps=  2 | chunks= 1 | msgs=   5
 52. ses_4b026c0b8ffeg4Ltd5NazgyyHf... | old=0.748 | new=0.781 | steps= 13 | chunks= 1 | msgs=  22
 53. ses_481af965cffeaULmrtGVarn51v... | old=0.746 | new=0.775 | steps= 44 | chunks= 8 | msgs=  70
 54. ses_4952a159dffeedr36ywJFa9O1S... | old=0.946 | new=0.767 | steps=138 | chunks=35 | msgs= 217
 55. ses_4b72b1c4affeSIf3FHTvsFCSjk... | old=0.942 | new=0.760 | steps= 14 | chunks= 2 | msgs=  24
 56. ses_497387244ffeUzsBNAbeuegSGI... | old=0.943 | new=0.759 | steps= 19 | chunks= 6 | msgs=  31
 57. ses_4b18c9a24ffepj955rQDR7V8QL... | old=0.932 | new=0.758 | steps=146 | chunks=51 | msgs= 178
 58. ses_485f9fd2effenSqj4x76ZFsPdv... | old=0.903 | new=0.745 | steps=197 | chunks=50 | msgs= 248
 59. ses_4a82e8912ffeHTkIH3PAQrtSmK... | old=0.809 | new=0.738 | steps=357 | chunks=63 | msgs= 499
 60. ses_49388f310ffex679Dvcr44c63B... | old=0.920 | new=0.727 | steps=  1 | chunks= 1 | msgs=   3
 61. ses_47ed47634ffeO7Bo5h5BnSf3BP... | old=0.928 | new=0.718 | steps= 10 | chunks= 1 | msgs=  21
 62. ses_4a00d0752ffeYjFt2wZxuhrSx6... | old=0.769 | new=0.713 | steps=214 | chunks=64 | msgs= 280
 63. ses_47ff2c17affemYJFh5YI6rCnp0... | old=0.931 | new=0.707 | steps= 38 | chunks=10 | msgs= 137
 64. ses_481e378cfffeyDwKsJV8PTK7P9... | old=0.911 | new=0.702 | steps= 10 | chunks= 1 | msgs=  24
 65. ses_48b741b6dffe2Xzcn6q24z4vco... | old=0.907 | new=0.702 | steps=175 | chunks=55 | msgs= 209
 66. ses_47f586d1cffe6U4239YSOE3fWw... | old=0.833 | new=0.694 | steps=  7 | chunks= 6 | msgs=  31
 67. ses_499783e82ffeMAnjtlCt3rBXHI... | old=0.753 | new=0.693 | steps= 16 | chunks=12 | msgs=  41
 68. ses_4aac7c20cffeTKpySMFpaLvknb... | old=0.949 | new=0.691 | steps= 30 | chunks=24 | msgs= 106
 69. ses_4a53a610bffeYrH2QAzWb7L0VG... | old=0.764 | new=0.688 | steps=112 | chunks=24 | msgs= 181
 70. ses_490f39613ffeQfHDKZ0NFt22C1... | old=0.831 | new=0.686 | steps= 12 | chunks= 7 | msgs=  35
 71. ses_489bff093ffeoXMj6fztp8SBh0... | old=0.826 | new=0.673 | steps= 10 | chunks= 8 | msgs=  19
 72. ses_4947e1948ffekpw2sdzU9UDvAO... | old=0.854 | new=0.670 | steps= 18 | chunks=10 | msgs= 153
 73. ses_47f68d695ffersxNas95nyB6sI... | old=0.833 | new=0.670 | steps=  4 | chunks= 1 | msgs=  15
 74. ses_4b6da7165ffeWgUjr1qthR0dGI... | old=0.790 | new=0.669 | steps=  9 | chunks= 6 | msgs=  26
 75. ses_4b71de42fffen3IblwpFJl9NoE... | old=0.930 | new=0.665 | steps= 32 | chunks=18 | msgs= 151
 76. ses_495df12e2ffe9SdNnBbJB62Z9F... | old=0.840 | new=0.662 | steps=  2 | chunks= 1 | msgs=  14
 77. ses_493b33962ffeJ6yYr4cIijuIxt... | old=0.869 | new=0.658 | steps= 11 | chunks= 6 | msgs=  43
 78. ses_48ef7b7f5ffeqg67nHH0rWKm9y... | old=0.831 | new=0.653 | steps= 18 | chunks=10 | msgs=  37
 79. ses_48ba0ce4dffetbCmlXB2B85OQS... | old=0.758 | new=0.651 | steps=507 | chunks=79 | msgs= 768
